flowcell	kit	preset_model	ont_model
FLO-MIN114	SQK-NBD114-96	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-MIN114	SQK-RBK114-24	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-MIN114	SQK-RBK114-96	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-MIN114	SQK-LSK114	_	dna_r10.4.1_e8.2_260bps
FLO-MIN114	SQK-LSK114-XL	_	dna_r10.4.1_e8.2_260bps
FLO-MIN114	SQK-ULK114	_	dna_r10.4.1_e8.2_260bps
FLO-MIN114	SQK-RAD114	_	dna_r10.4.1_e8.2_260bps
FLO-MIN114	SQK-NBD114-24	_	dna_r10.4.1_e8.2_260bps
FLO-MIN114	SQK-NBD114-96	_	dna_r10.4.1_e8.2_260bps
FLO-MIN114	SQK-RBK114-24	_	dna_r10.4.1_e8.2_260bps
FLO-MIN114	SQK-RBK114-96	_	dna_r10.4.1_e8.2_260bps
FLO-MIN112	SQK-LSK112	_	dna_r10.4_e8.1
FLO-MIN112	SQK-LSK112-XL	_	dna_r10.4_e8.1
FLO-MIN112	SQK-RAD112	_	dna_r10.4_e8.1
FLO-MIN112	SQK-NBD112-24	_	dna_r10.4_e8.1
FLO-MIN112	SQK-NBD112-96	_	dna_r10.4_e8.1
FLO-MIN112	SQK-RBK112-24	_	dna_r10.4_e8.1
FLO-MIN112	SQK-RBK112-96	_	dna_r10.4_e8.1
FLO-FLG001	SQK-RNA001	rna_r9.4_70bps_5mer	rna_r9.4.1_70bps
FLO-FLG001	SQK-RNA002	rna_r9.4_70bps_5mer	rna_r9.4.1_70bps
FLO-MIN106	SQK-RNA001	rna_r9.4_70bps_5mer	rna_r9.4.1_70bps
FLO-MIN106	SQK-RNA002	rna_r9.4_70bps_5mer	rna_r9.4.1_70bps
